"専攻コース","科目名","担当教員","受講者数","5","4","3","2","1","0"
"事業設計工学","イノベーティブサービス技術特論","細田 貴明","18","12","4","1","0","0","1"
"事業設計工学","マネジメントシステム応用特論","板倉 宏昭","13","6","2","2","2","1","0"
"事業設計工学","事業継続戦略特論","松尾 徳朗","18","0","10","2","4","0","2"
"事業設計工学","事業設計工学特別演習２","PBL担当教員","18","12","5","0","1","0","0"
"事業設計工学","地域経済分析特別演習","三好 祐補","7","5","1","0","0","0","1"
"情報アーキテクチャ","IoT開発特論","飛田 博章","25","11","8","2","0","0","4"
"情報アーキテクチャ","コラボレイティブ開発特論","中鉢 欣秀","18","9","5","2","0","0","2"
"情報アーキテクチャ","セキュアシステム管理運用特論","真鍋 敬士","17","7","5","4","0","0","1"
"情報アーキテクチャ","ネットワーク特論","中鉢 欣秀,木下 修司","27","8","3","7","4","2","3"
"情報アーキテクチャ","ビッグデータ解析特論","追川 修一","38","7","10","7","4","5","5"
"情報アーキテクチャ","プロジェクト管理特論3","三好 きよみ","14","10","3","0","0","0","1"
"情報アーキテクチャ","情報システム学特別演習2","PBL担当教員","41","22","19","0","0","0","0"
"情報アーキテクチャ","情報システム特論1","嶋津 恵子","26","7","11","3","0","0","5"
"情報アーキテクチャ","情報システム特論2","亀井 省吾,戸沢 義夫","7","6","1","0","0","0","0"
"情報アーキテクチャ","情報セキュリティ特別講義2","奥原 雅之","12","2","5","3","0","0","2"
"情報アーキテクチャ","情報ビジネス特別講義3","川名 周","15","7","4","2","0","0","2"
"創造技術","イノベーションデザイン特別演習2","PBL担当教員","41","18","19","3","0","0","1"
"創造技術","サービス工学特論","橋本 洋志","23","14","2","1","2","3","1"
"創造技術","システムモデリング特論","村越 英樹","15","4","5","6","0","0","0"
"創造技術","チーム設計・試作特別演習","伊藤 潤","14","4","8","1","0","1","0"
"創造技術","データサイエンス特別演習","宮津 和弘,小畑 崇弘,浅野 浩美,林 久志","39","5","14","7","3","5","5"
"創造技術","デジタルデザイン実習","村田 桂太","13","1","6","3","1","0","2"
"創造技術","品質工学特論","越水 重臣","23","8","6","6","1","1","1"
"創造技術","DESIGN ［RE］ THINKING","松井 実","29","14","2","1","1","8","3"
"創造技術","国際経営特論","前田 充浩","17","4","10","0","0","0","3"
"創造技術","情報技術者倫理","稲垣 実","74","58","8","3","1","0","4"
