"専攻コース","科目名","担当教員","受講者数","5","4","3","2","1","0"
"情報アーキテクチャ","データベース特論","木下 修司","46","15","11","5","5","1","9"
"情報アーキテクチャ","プロジェクト管理特別講義","三好 きよみ","22","6","14","1","0","0","1"
"情報アーキテクチャ","ネットワークシステム特別講義","飛田 博章","11","6","1","3","0","0","1"
"情報アーキテクチャ","標準化と知財戦略","成田 雅彦","11","5","3","2","1","0","0"
"情報アーキテクチャ","情報アーキテクチャ特論3","中鉢 欣秀","29","2","15","8","0","4","0"
"情報アーキテクチャ","情報アーキテクチャ特論2","戸沢 義夫","15","4","8","1","0","0","2"
"情報アーキテクチャ","システムソフトウェア特論","柴田 淳司","57","15","22","7","3","1","9"
"情報アーキテクチャ","システムプログラミング特論","小山 裕司","37","3","4","7","10","7","6"
"情報アーキテクチャ","情報セキュリティ特別講義1","奥原 雅之","23","2","15","2","1","2","1"
"創造技術","造形デザイン特別演習","内山 純,和泉 秀明","10","4","5","0","0","0","1"
"創造技術","AIデザイン特論","林 久志","22","8","10","0","0","0","4"
"創造技術","人間中心デザイン特論","伊藤 潤","42","21","12","2","0","1","6"
"創造技術","グローバルコミュニケーション特論","前田 充浩","26","7","12","0","0","0","7"
"創造技術","組込みシステム特論","村越 英樹","31","16","7","6","0","2","0"
"創造技術","デザインマネジメント特論","海老澤 伸樹","30","6","18","2","0","0","4"
"創造技術","価値デザイン特論","國澤 好衛","35","11","18","0","0","4","2"
"創造技術","創造設計特論","越水 重臣","42","7","23","8","0","0","4"
"事業設計工学","意思決定サイエンス特論","細田 貴明","21","13","2","3","0","0","3"
"事業設計工学","製品開発組織特論","吉田 敏","22","10","10","0","0","1","1"
"事業設計工学","エマージング・テクノロジー特論","廣瀬 雄大","12","9","2","0","0","0","1"
"事業設計工学","リーダーシップ特論","嶋津 恵子","7","3","4","0","0","0","0"
"事業設計工学","市場創造技術特論","松尾 徳朗","23","11","6","4","0","0","2"
"事業設計工学","マネジメントシステム基礎特論","板倉 宏昭","20","6","7","3","1","1","2"
