"専攻コース","科目名","担当教員","受講者数","5","4","3","2","1","0"
"情報アーキテクチャ","アジャイル開発手法特論","細澤 あゆみ","33","6","16","5","1","1","4"
"情報アーキテクチャ","情報ビジネス特別講義1","六川 浩明","14","0","3","9","0","0","2"
"情報アーキテクチャ","プロジェクト管理特論2","酒森 潔","35","8","16","4","1","0","6"
"情報アーキテクチャ","データインテリジェンス特論","追川 修一","57","15","6","13","6","3","14"
"情報アーキテクチャ","クラウドサーバ構築特論","飛田 博章","28","14","5","1","1","2","5"
"情報アーキテクチャ","セキュアプログラミング特論","黄 緒平","19","5","11","2","0","0","1"
"情報アーキテクチャ","OSS特論","小山 裕司","20","8","8","3","0","0","1"
"情報アーキテクチャ","情報ビジネス特別講義2","小酒井 正和","22","12","5","3","0","2","0"
"情報アーキテクチャ","IT・CIO特論","中鉢 欣秀","37","1","24","5","1","3","3"
"情報アーキテクチャ","クラウドインフラ構築特論","山崎 泰宏","10","1","0","3","0","3","3"
"創造技術","プロダクトデザイン特別演習","國澤 好衛,村田 桂太","11","4","6","0","0","0","1"
"創造技術","信頼性工学特論","越水 重臣","18","7","7","1","1","0","2"
"創造技術","コミュニケーションデザイン特論","海老澤 伸樹,河西 大介","41","6","27","3","2","0","3"
"創造技術","機械学習特論","林 久志","27","11","8","2","2","2","2"
"創造技術","ET（Embedded Technology）特別演習","村越 英樹","28","4","5","12","3","4","0"
"創造技術","システムインテグレーション特論","橋本 洋志","16","9","6","0","0","1","0"
"創造技術","工業デザイン材料特論","内山 純","13","4","7","1","0","0","1"
"事業設計工学","事業方向性設計演習","廣瀬 雄大","13","8","4","1","0","0","0"
"事業設計工学","統計・数理計量ファイナンス特別演習","三好 祐補","16","13","2","0","0","0","1"
"事業設計工学","技術経営戦略特論","吉田 敏","23","9","10","3","0","1","0"
"事業設計工学","スタートアップ戦略特論","板倉 宏昭","24","9","9","2","1","1","2"
"事業設計工学","ネットワーク事業設計特論","細田 貴明","17","13","3","1","0","0","0"
"共通","国際開発特論","前田 充浩","27","6","16","2","0","0","3"
"共通","Technical Writing in English","嶋津 恵子","16","3","3","2","0","3","5"
